paths,stepsPerHour,meanError,time
10,5,77.533,0.413023
10,10,56.5288,0.739642
10,15,57.4949,0.92221
10,30,55.1724,1.9204
10,60,63.2358,4.23654
50,5,44.8207,2.05978
50,10,32.594,5.78372
50,15,32.5435,11.5424
50,30,39.4876,24.2562
50,60,37.3536,36.8823
100,5,28.3905,5.162
100,10,27.6879,14.9465
100,15,27.037,21.9296
100,30,29.7602,42.4025
100,60,25.8837,82.8583
250,5,30.4846,20.9171
250,10,20.9334,40.6047
250,15,22.0186,50.3979
250,30,23.9425,57.1893
250,60,20.0279,161.788
500,5,21.3232,28.7956
500,10,23.7601,55.5604
